Month,Year,DayOfWeek,Sex,Age,VehicleAge,TipoVehiculo,TipoPoliza,Fault,ClaimAmount,FraudFound_P,Fraude
Nov,1994,Thursday,Female,44,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Sep,1994,Thursday,Male,38,7 years,Sedan,All Perils,Policy Holder,34500,0,Legítimo
Sep,1994,Thursday,Male,38,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Aug,1994,Monday,Male,34,6 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Aug,1994,Friday,Male,61,7 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Aug,1994,Thursday,Female,28,6 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
May,1994,Sunday,Male,0,new,Sedan,All Perils,Policy Holder,69000,1,Fraude
Aug,1994,Wednesday,Male,27,7 years,Sedan,All Perils,Policy Holder,34500,0,Legítimo
Jul,1994,Wednesday,Male,29,7 years,Sedan,All Perils,Third Party,24500,0,Legítimo
Jun,1994,Wednesday,Male,32,7 years,Sedan,Liability,Third Party,69000,0,Legítimo
Jul,1994,Friday,Male,27,5 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Jun,1994,Sunday,Female,21,2 years,Sedan,All Perils,Third Party,24500,0,Legítimo
May,1994,Saturday,Male,46,more than 7,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Apr,1994,Monday,Male,51,more than 7,Sedan,Liability,Policy Holder,34500,0,Legítimo
May,1994,Sunday,Male,0,new,Sedan,All Perils,Policy Holder,69000,1,Fraude
Apr,1994,Thursday,Male,37,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Apr,1994,Sunday,Male,31,6 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Mar,1994,Tuesday,Male,44,7 years,Sedan,Liability,Policy Holder,49500,0,Legítimo
Jan,1994,Saturday,Male,34,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jan,1994,Saturday,Male,36,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
May,1994,Friday,Male,40,7 years,Sedan,Collision,Third Party,34500,1,Fraude
May,1994,Thursday,Male,32,6 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Aug,1994,Thursday,Female,41,7 years,Sedan,Collision,Third Party,24500,0,Legítimo
May,1994,Monday,Male,36,7 years,Sedan,Collision,Policy Holder,15000,1,Fraude
Mar,1994,Wednesday,Male,34,5 years,Sedan,Liability,Third Party,24500,0,Legítimo
May,1994,Friday,Male,51,more than 7,Sedan,All Perils,Third Party,34500,0,Legítimo
May,1994,Wednesday,Male,41,7 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Jun,1994,Thursday,Male,45,7 years,Sedan,Liability,Policy Holder,69000,0,Legítimo
Aug,1994,Wednesday,Male,35,7 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
May,1994,Tuesday,Male,46,more than 7,Sedan,Liability,Policy Holder,34500,0,Legítimo
Jul,1994,Tuesday,Female,46,more than 7,Sedan,Liability,Policy Holder,34500,0,Legítimo
May,1994,Tuesday,Male,31,6 years,Sedan,Collision,Policy Holder,24500,1,Fraude
Sep,1994,Saturday,Female,26,5 years,Sedan,Liability,Policy Holder,69000,0,Legítimo
Sep,1994,Friday,Male,52,6 years,Sedan,All Perils,Third Party,34500,0,Legítimo
Oct,1994,Friday,Male,54,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
May,1994,Friday,Female,54,more than 7,Sedan,Liability,Third Party,24500,0,Legítimo
Sep,1994,Friday,Male,39,more than 7,Sedan,Liability,Policy Holder,34500,0,Legítimo
Oct,1994,Monday,Male,27,6 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Oct,1994,Thursday,Female,31,5 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Sep,1994,Friday,Male,28,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jan,1994,Sunday,Male,42,more than 7,Sedan,Liability,Policy Holder,69000,0,Legítimo
Mar,1994,Sunday,Male,52,6 years,Sedan,Liability,Policy Holder,64500,0,Legítimo
Dec,1994,Tuesday,Male,50,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Mar,1994,Thursday,Male,42,7 years,Sedan,Collision,Third Party,34500,0,Legítimo
Oct,1994,Tuesday,Male,39,7 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Oct,1994,Tuesday,Male,41,6 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Dec,1994,Thursday,Male,51,more than 7,Sedan,Liability,Third Party,24500,0,Legítimo
Jun,1994,Saturday,Male,41,7 years,Sedan,Collision,Third Party,24500,0,Legítimo
May,1994,Monday,Male,39,6 years,Sedan,Collision,Policy Holder,34500,0,Legítimo
Jul,1994,Saturday,Male,26,7 years,Sedan,Liability,Third Party,34500,0,Legítimo
Mar,1994,Monday,Male,31,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Dec,1994,Thursday,Male,46,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Nov,1994,Thursday,Male,57,more than 7,Sedan,Collision,Policy Holder,24500,0,Legítimo
May,1994,Tuesday,Male,46,7 years,Sedan,Collision,Policy Holder,24500,1,Fraude
Sep,1994,Friday,Female,33,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Dec,1994,Friday,Male,63,more than 7,Sedan,Collision,Policy Holder,34500,0,Legítimo
Jul,1994,Saturday,Male,47,more than 7,Sedan,Collision,Policy Holder,34500,0,Legítimo
Aug,1994,Sunday,Male,45,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jul,1994,Tuesday,Female,35,6 years,Sedan,Collision,Third Party,24500,0,Legítimo
Oct,1994,Sunday,Male,55,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Mar,1994,Friday,Male,33,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Sep,1994,Friday,Male,47,more than 7,Utility,All Perils,Policy Holder,69000,0,Legítimo
Sep,1994,Thursday,Female,23,3 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Sep,1994,Wednesday,Male,50,7 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
May,1994,Wednesday,Male,26,6 years,Sedan,Collision,Third Party,24500,0,Legítimo
May,1994,Thursday,Male,41,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
May,1994,Thursday,Male,80,7 years,Sport,Collision,Third Party,69000,0,Legítimo
Jan,1994,Thursday,Male,55,more than 7,Sport,Collision,Policy Holder,69000,0,Legítimo
Jan,1994,Friday,Female,22,6 years,Sedan,Collision,Third Party,24500,0,Legítimo
Jan,1994,Monday,Male,57,more than 7,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jan,1994,Tuesday,Female,21,5 years,Sedan,Liability,Policy Holder,15000,0,Legítimo
May,1994,Monday,Female,46,more than 7,Sedan,Liability,Policy Holder,24500,0,Legítimo
May,1994,Wednesday,Male,42,7 years,Sedan,Collision,Third Party,24500,0,Legítimo
Jun,1994,Sunday,Male,24,5 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Aug,1994,Thursday,Male,48,7 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Sep,1994,Monday,Male,35,6 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Oct,1994,Monday,Male,35,7 years,Sedan,Liability,Policy Holder,69000,0,Legítimo
Oct,1994,Wednesday,Male,44,more than 7,Sedan,Liability,Third Party,34500,0,Legítimo
Dec,1994,Saturday,Male,28,5 years,Sedan,Collision,Third Party,34500,0,Legítimo
Dec,1994,Monday,Male,27,6 years,Sedan,Collision,Policy Holder,34500,0,Legítimo
Jan,1994,Friday,Male,27,6 years,Sedan,Liability,Third Party,34500,0,Legítimo
Apr,1994,Monday,Male,64,more than 7,Sedan,Collision,Policy Holder,34500,0,Legítimo
Apr,1994,Tuesday,Male,61,more than 7,Sedan,Liability,Third Party,69000,0,Legítimo
Jun,1994,Tuesday,Male,62,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Aug,1994,Sunday,Male,42,7 years,Sedan,Liability,Policy Holder,69000,0,Legítimo
Sep,1994,Thursday,Male,26,7 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Dec,1994,Wednesday,Male,35,6 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Dec,1994,Tuesday,Female,33,4 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Oct,1994,Sunday,Male,31,7 years,Sedan,Collision,Third Party,24500,0,Legítimo
Jul,1994,Wednesday,Male,49,more than 7,Sedan,All Perils,Third Party,24500,0,Legítimo
May,1994,Wednesday,Male,20,3 years,Sport,Collision,Policy Holder,69000,1,Fraude
Mar,1994,Friday,Male,29,7 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Jan,1994,Wednesday,Male,60,more than 7,Sedan,All Perils,Policy Holder,15000,0,Legítimo
Jan,1994,Friday,Male,76,more than 7,Sedan,All Perils,Third Party,34500,0,Legítimo
Nov,1994,Saturday,Male,57,more than 7,Sedan,Collision,Policy Holder,24500,0,Legítimo
Nov,1994,Monday,Male,34,6 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Nov,1994,Friday,Female,34,6 years,Sport,Collision,Third Party,69000,0,Legítimo
Oct,1994,Friday,Male,31,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Oct,1994,Tuesday,Male,45,more than 7,Sedan,Collision,Policy Holder,34500,0,Legítimo
Sep,1994,Thursday,Male,30,6 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Jul,1994,Saturday,Male,44,7 years,Sedan,Liability,Third Party,24500,0,Legítimo
Jul,1994,Sunday,Male,55,more than 7,Sedan,Collision,Third Party,34500,0,Legítimo
Jun,1994,Thursday,Male,55,more than 7,Sedan,All Perils,Third Party,15000,0,Legítimo
May,1994,Wednesday,Male,26,6 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
May,1994,Sunday,Male,0,new,Sedan,Liability,Policy Holder,69000,0,Legítimo
Jun,1994,Saturday,Male,31,6 years,Utility,All Perils,Policy Holder,69000,0,Legítimo
Jun,1994,Friday,Female,31,6 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jun,1994,Friday,Male,53,more than 7,Sedan,Collision,Policy Holder,34500,0,Legítimo
Oct,1994,Monday,Female,37,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Oct,1994,Monday,Male,64,more than 7,Sedan,All Perils,Third Party,34500,0,Legítimo
Oct,1994,Monday,Female,27,6 years,Sedan,All Perils,Third Party,15000,0,Legítimo
Aug,1994,Wednesday,Male,68,more than 7,Sedan,All Perils,Policy Holder,24500,0,Legítimo
May,1994,Thursday,Male,46,more than 7,Sedan,All Perils,Third Party,24500,0,Legítimo
Jan,1994,Sunday,Female,29,6 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
May,1994,Sunday,Male,34,5 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Mar,1994,Thursday,Male,38,6 years,Sedan,All Perils,Third Party,34500,0,Legítimo
Oct,1994,Wednesday,Female,34,6 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jan,1994,Saturday,Male,27,6 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jan,1994,Tuesday,Male,26,7 years,Sedan,All Perils,Third Party,15000,0,Legítimo
Oct,1994,Friday,Male,59,more than 7,Sedan,All Perils,Third Party,34500,0,Legítimo
Mar,1994,Tuesday,Male,38,7 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
May,1994,Saturday,Male,38,7 years,Sedan,Collision,Third Party,69000,0,Legítimo
Aug,1994,Wednesday,Male,34,6 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Dec,1994,Saturday,Male,41,more than 7,Sedan,Liability,Policy Holder,34500,0,Legítimo
Dec,1994,Monday,Female,32,4 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Dec,1994,Friday,Male,35,7 years,Sedan,Liability,Third Party,24500,0,Legítimo
May,1994,Thursday,Male,34,6 years,Sedan,Collision,Third Party,24500,0,Legítimo
Jan,1994,Tuesday,Female,50,6 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jun,1994,Wednesday,Male,26,6 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jul,1994,Thursday,Male,32,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jul,1994,Saturday,Female,33,5 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Oct,1994,Friday,Male,28,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Oct,1994,Saturday,Male,41,more than 7,Sedan,Liability,Policy Holder,69000,0,Legítimo
Jul,1994,Thursday,Male,32,6 years,Sedan,Collision,Third Party,34500,0,Legítimo
Dec,1994,Monday,Male,21,5 years,Sedan,Collision,Third Party,24500,0,Legítimo
Nov,1994,Thursday,Male,39,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Oct,1994,Friday,Female,39,7 years,Sedan,Collision,Third Party,24500,0,Legítimo
Sep,1994,Friday,Male,26,7 years,Sedan,Collision,Third Party,69000,0,Legítimo
Aug,1994,Monday,Male,31,6 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jul,1994,Monday,Male,60,more than 7,Sedan,All Perils,Policy Holder,24500,0,Legítimo
May,1994,Thursday,Male,29,4 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Aug,1994,Friday,Male,22,6 years,Sport,Collision,Third Party,69000,0,Legítimo
May,1994,Thursday,Male,53,6 years,Sedan,All Perils,Third Party,24500,0,Legítimo
Jun,1994,Thursday,Male,44,7 years,Sedan,Liability,Policy Holder,49500,0,Legítimo
May,1994,Thursday,Male,24,5 years,Sedan,All Perils,Third Party,24500,0,Legítimo
Feb,1994,Thursday,Male,24,5 years,Sedan,Collision,Third Party,24500,0,Legítimo
Oct,1994,Sunday,Male,44,more than 7,Sedan,All Perils,Third Party,24500,0,Legítimo
Oct,1994,Tuesday,Male,33,7 years,Utility,All Perils,Policy Holder,69000,0,Legítimo
Oct,1994,Saturday,Male,41,7 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Jan,1994,Thursday,Male,35,6 years,Sedan,Collision,Third Party,69000,0,Legítimo
Jan,1994,Friday,Female,27,4 years,Sedan,All Perils,Third Party,24500,0,Legítimo
Jan,1994,Wednesday,Male,55,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jan,1994,Monday,Male,34,6 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Feb,1994,Wednesday,Male,61,more than 7,Sedan,Collision,Policy Holder,24500,0,Legítimo
Apr,1994,Thursday,Female,62,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jun,1994,Saturday,Male,40,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jun,1994,Monday,Female,36,7 years,Sedan,Collision,Third Party,24500,0,Legítimo
Jun,1994,Wednesday,Male,65,more than 7,Sedan,Liability,Policy Holder,34500,0,Legítimo
Aug,1994,Tuesday,Male,47,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Oct,1994,Wednesday,Male,27,7 years,Utility,All Perils,Policy Holder,69000,0,Legítimo
Oct,1994,Saturday,Female,25,5 years,Sedan,Collision,Policy Holder,15000,0,Legítimo
Oct,1994,Wednesday,Male,36,more than 7,Utility,All Perils,Third Party,69000,0,Legítimo
May,1994,Friday,Male,39,7 years,Sedan,Collision,Policy Holder,15000,1,Fraude
May,1994,Friday,Male,51,7 years,Sedan,Collision,Policy Holder,24500,1,Fraude
Dec,1994,Friday,Male,36,7 years,Utility,All Perils,Third Party,69000,0,Legítimo
Dec,1994,Monday,Male,35,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Oct,1994,Wednesday,Male,40,7 years,Sedan,All Perils,Policy Holder,34500,0,Legítimo
Oct,1994,Friday,Male,31,6 years,Sedan,Collision,Policy Holder,34500,0,Legítimo
Aug,1994,Thursday,Male,40,6 years,Sedan,Liability,Policy Holder,69000,0,Legítimo
Aug,1994,Tuesday,Male,27,7 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Aug,1994,Tuesday,Male,29,7 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Jun,1994,Tuesday,Male,37,7 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Jun,1994,Monday,Male,29,6 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jun,1994,Sunday,Male,33,4 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
May,1994,Sunday,Male,34,6 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
May,1994,Monday,Male,28,6 years,Sedan,All Perils,Policy Holder,15000,0,Legítimo
May,1994,Tuesday,Male,53,7 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
May,1994,Friday,Male,33,5 years,Sedan,All Perils,Policy Holder,24500,1,Fraude
May,1994,Friday,Male,30,6 years,Sedan,All Perils,Policy Holder,34500,1,Fraude
Feb,1994,Saturday,Female,62,7 years,Sedan,Liability,Policy Holder,15000,0,Legítimo
Feb,1994,Wednesday,Male,45,7 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Feb,1994,Wednesday,Female,69,7 years,Sedan,All Perils,Third Party,24500,0,Legítimo
Feb,1994,Thursday,Male,27,6 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jan,1994,Tuesday,Female,28,6 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jan,1994,Monday,Male,61,more than 7,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jan,1994,Friday,Male,39,more than 7,Sedan,Liability,Third Party,69000,0,Legítimo
Jan,1994,Friday,Male,49,7 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Jan,1994,Saturday,Female,63,7 years,Sedan,Liability,Third Party,24500,0,Legítimo
Jan,1994,Tuesday,Male,45,6 years,Utility,All Perils,Policy Holder,69000,0,Legítimo
May,1994,Saturday,Male,38,more than 7,Sedan,Collision,Third Party,24500,0,Legítimo
Jan,1994,Monday,Male,60,more than 7,Sedan,Liability,Policy Holder,34500,0,Legítimo
Jan,1994,Sunday,Male,55,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jan,1994,Monday,Male,44,7 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Jan,1994,Friday,Male,53,more than 7,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Jan,1994,Thursday,Male,41,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jan,1994,Saturday,Female,22,5 years,Sedan,Collision,Third Party,24500,0,Legítimo
Jan,1994,Friday,Female,24,4 years,Sedan,All Perils,Policy Holder,15000,0,Legítimo
Dec,1994,Wednesday,Male,28,5 years,Sport,Collision,Third Party,69000,0,Legítimo
Dec,1994,Thursday,Male,39,7 years,Sedan,Collision,Policy Holder,15000,0,Legítimo
May,1994,Saturday,Male,26,7 years,Sedan,Collision,Policy Holder,24500,1,Fraude
Dec,1994,Thursday,Male,32,7 years,Sedan,Collision,Third Party,34500,0,Legítimo
Oct,1994,Monday,Male,21,6 years,Sedan,All Perils,Third Party,34500,0,Legítimo
Oct,1994,Friday,Male,35,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Sep,1994,Wednesday,Male,43,7 years,Sedan,All Perils,Policy Holder,15000,0,Legítimo
Sep,1994,Friday,Male,24,5 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Aug,1994,Tuesday,Male,18,3 years,Sedan,All Perils,Policy Holder,15000,0,Legítimo
Aug,1994,Wednesday,Male,37,7 years,Utility,All Perils,Policy Holder,69000,0,Legítimo
Jun,1994,Friday,Male,59,more than 7,Sedan,All Perils,Policy Holder,24500,0,Legítimo
May,1994,Saturday,Male,31,6 years,Sport,Collision,Third Party,69000,0,Legítimo
May,1994,Saturday,Male,42,7 years,Sedan,Collision,Policy Holder,69000,0,Legítimo
Feb,1994,Wednesday,Male,36,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Feb,1994,Thursday,Male,32,6 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
May,1994,Sunday,Male,29,7 years,Sedan,Collision,Policy Holder,24500,1,Fraude
Jan,1994,Thursday,Male,49,5 years,Sedan,Liability,Policy Holder,69000,0,Legítimo
Jan,1994,Thursday,Male,41,7 years,Sedan,Collision,Third Party,24500,0,Legítimo
Jan,1994,Monday,Male,46,more than 7,Sedan,Liability,Policy Holder,24500,0,Legítimo
May,1994,Sunday,Male,21,5 years,Sedan,Collision,Policy Holder,34500,1,Fraude
Jan,1994,Monday,Male,51,more than 7,Sedan,Liability,Policy Holder,24500,0,Legítimo
May,1994,Sunday,Male,28,7 years,Sedan,All Perils,Policy Holder,34500,1,Fraude
Feb,1994,Sunday,Male,36,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Feb,1994,Saturday,Male,58,more than 7,Sedan,Collision,Third Party,34500,0,Legítimo
Feb,1994,Saturday,Male,31,7 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Feb,1994,Monday,Male,71,more than 7,Sedan,All Perils,Third Party,24500,0,Legítimo
Nov,1994,Wednesday,Female,37,6 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Sep,1994,Friday,Female,35,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Mar,1994,Monday,Male,37,6 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Mar,1994,Monday,Female,40,3 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Feb,1994,Monday,Male,80,7 years,Sedan,All Perils,Policy Holder,15000,0,Legítimo
Feb,1994,Monday,Male,37,7 years,Sedan,All Perils,Policy Holder,15000,0,Legítimo
Jun,1994,Wednesday,Male,18,3 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Mar,1994,Friday,Male,27,7 years,Utility,All Perils,Policy Holder,69000,0,Legítimo
Apr,1994,Friday,Male,39,7 years,Sedan,Collision,Policy Holder,15000,0,Legítimo
May,1994,Sunday,Male,52,more than 7,Sedan,Collision,Third Party,34500,0,Legítimo
Apr,1994,Friday,Male,28,6 years,Sedan,All Perils,Policy Holder,15000,0,Legítimo
Apr,1994,Sunday,Male,28,6 years,Sedan,Collision,Third Party,24500,0,Legítimo
Jun,1994,Thursday,Male,54,more than 7,Sedan,All Perils,Policy Holder,24500,0,Legítimo
May,1994,Saturday,Female,27,5 years,Sedan,Collision,Policy Holder,15000,0,Legítimo
Aug,1994,Saturday,Male,49,more than 7,Sedan,All Perils,Third Party,34500,0,Legítimo
May,1994,Monday,Male,34,6 years,Sedan,All Perils,Third Party,24500,0,Legítimo
Sep,1994,Friday,Male,32,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Nov,1994,Sunday,Male,30,7 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Dec,1994,Saturday,Male,38,7 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Dec,1994,Saturday,Male,52,more than 7,Sedan,All Perils,Policy Holder,34500,0,Legítimo
Dec,1994,Thursday,Male,64,more than 7,Sedan,Collision,Third Party,24500,0,Legítimo
Feb,1994,Friday,Male,20,4 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jun,1994,Monday,Male,26,6 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jul,1994,Saturday,Male,27,6 years,Sedan,Collision,Policy Holder,34500,0,Legítimo
Jul,1994,Friday,Male,37,7 years,Sedan,Collision,Policy Holder,34500,0,Legítimo
May,1994,Monday,Male,48,more than 7,Sedan,All Perils,Policy Holder,15000,1,Fraude
Jun,1994,Friday,Male,57,more than 7,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Mar,1994,Tuesday,Male,34,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Feb,1994,Sunday,Male,49,6 years,Sedan,Collision,Third Party,24500,0,Legítimo
May,1994,Thursday,Male,28,7 years,Sedan,Collision,Policy Holder,69000,0,Legítimo
May,1994,Wednesday,Male,26,7 years,Sedan,Collision,Policy Holder,34500,0,Legítimo
Jun,1994,Friday,Male,50,more than 7,Utility,All Perils,Third Party,69000,0,Legítimo
Jul,1994,Saturday,Male,60,more than 7,Sedan,All Perils,Third Party,34500,0,Legítimo
Jul,1994,Saturday,Male,31,6 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
May,1994,Monday,Male,35,7 years,Sedan,All Perils,Policy Holder,69000,1,Fraude
Jun,1994,Monday,Male,54,7 years,Sedan,All Perils,Third Party,24500,0,Legítimo
Oct,1994,Tuesday,Female,54,4 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Oct,1994,Sunday,Male,60,more than 7,Sedan,All Perils,Third Party,24500,0,Legítimo
Oct,1994,Tuesday,Female,38,7 years,Sedan,Collision,Policy Holder,34500,0,Legítimo
Oct,1994,Friday,Female,28,5 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Mar,1994,Wednesday,Male,26,6 years,Sedan,Collision,Policy Holder,34500,0,Legítimo
Apr,1994,Wednesday,Female,25,5 years,Sedan,Collision,Policy Holder,69000,0,Legítimo
Jun,1994,Saturday,Male,50,more than 7,Sedan,All Perils,Third Party,24500,0,Legítimo
Jun,1994,Friday,Male,29,7 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Aug,1994,Monday,Male,34,3 years,Sedan,All Perils,Third Party,15000,0,Legítimo
Sep,1994,Friday,Male,60,more than 7,Sedan,All Perils,Policy Holder,34500,0,Legítimo
Dec,1994,Thursday,Male,51,more than 7,Sedan,Collision,Third Party,24500,0,Legítimo
Dec,1994,Monday,Male,42,7 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Sep,1994,Friday,Male,28,6 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jun,1994,Thursday,Male,33,6 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
May,1994,Sunday,Male,73,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
May,1994,Monday,Male,28,6 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
May,1994,Friday,Male,33,7 years,Sport,Collision,Third Party,69000,1,Fraude
Mar,1994,Saturday,Male,42,7 years,Sedan,All Perils,Third Party,15000,0,Legítimo
Mar,1994,Friday,Male,47,more than 7,Sedan,All Perils,Policy Holder,69000,0,Legítimo
Feb,1994,Wednesday,Male,39,more than 7,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Feb,1994,Wednesday,Male,52,more than 7,Sedan,Collision,Policy Holder,24500,0,Legítimo
May,1994,Monday,Male,48,more than 7,Sport,Collision,Third Party,69000,0,Legítimo
Feb,1994,Wednesday,Male,41,more than 7,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Feb,1994,Tuesday,Male,39,7 years,Sedan,Liability,Third Party,34500,0,Legítimo
Jan,1994,Monday,Male,32,7 years,Sedan,Collision,Policy Holder,34500,0,Legítimo
Jan,1994,Tuesday,Female,41,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jan,1994,Wednesday,Female,60,more than 7,Sedan,Liability,Policy Holder,49500,0,Legítimo
Jan,1994,Monday,Male,28,7 years,Sedan,All Perils,Policy Holder,15000,0,Legítimo
Jan,1994,Sunday,Male,45,7 years,Utility,All Perils,Policy Holder,69000,0,Legítimo
Jan,1994,Thursday,Male,32,6 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
May,1994,Tuesday,Male,58,more than 7,Sedan,Collision,Third Party,24500,0,Legítimo
Dec,1994,Saturday,Male,58,more than 7,Sedan,Liability,Policy Holder,24500,0,Legítimo
Dec,1994,Sunday,Male,24,4 years,Sedan,All Perils,Third Party,24500,0,Legítimo
Sep,1994,Wednesday,Male,29,7 years,Sedan,Collision,Policy Holder,69000,0,Legítimo
Sep,1994,Wednesday,Male,53,more than 7,Sedan,Liability,Policy Holder,64500,0,Legítimo
